3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Michael Gruetzner            1 (0.0%)
Kisoo Yu                     1 (0.0%)
Bartosz Markowski            1 (0.0%)
Masahiro Nakai               1 (0.0%)
Sage Ahn                     1 (0.0%)
Imre Kaloz                   1 (0.0%)
Benedikt Spranger            1 (0.0%)
Christian Melki              1 (0.0%)
Reinhard Tartler             1 (0.0%)
Todd Rimmer                  1 (0.0%)
Kartik Mohta                 1 (0.0%)
Ryosuke Saito                1 (0.0%)
Marcus Folkesson             1 (0.0%)
Li Yang                      1 (0.0%)
Nestor Lopez Casado          1 (0.0%)
Axel Castaneda Gonzalez      1 (0.0%)
JJ Ding                      1 (0.0%)
George Pantalos              1 (0.0%)
Andi Shyti                   1 (0.0%)
Matt Bondurant               1 (0.0%)
Mike Maslenkin               1 (0.0%)
Mark Salyzyn                 1 (0.0%)
Ashwin Bihari                1 (0.0%)
Ameya Palande                1 (0.0%)
Chris Lalancette             1 (0.0%)
Felipe Contreras             1 (0.0%)
Arne Redlich                 1 (0.0%)
Philipp Hahn                 1 (0.0%)
Lukasz Rymanowski            1 (0.0%)
WarheadsSE                   1 (0.0%)
Joshua Cov                   1 (0.0%)
Kelvie Wong                  1 (0.0%)
Denis Carikli                1 (0.0%)
Marco Aurelio da Costa       1 (0.0%)
harryxiyou                   1 (0.0%)
Matthias Fend                1 (0.0%)
girish verma                 1 (0.0%)
Ben Guthro                   1 (0.0%)
Steven Noonan                1 (0.0%)
guoyh                        1 (0.0%)
Donggeun Kim                 1 (0.0%)
Richard Alpe                 1 (0.0%)
Michael Davidson             1 (0.0%)
Edward Shao                  1 (0.0%)
Sangwook Lee                 1 (0.0%)
Yongsul Oh                   1 (0.0%)
Preston Fick                 1 (0.0%)
Xiaoguang Chen               1 (0.0%)
Peter Tyser                  1 (0.0%)
Konstantin Weitz             1 (0.0%)
Steffen Müller              1 (0.0%)
David Mackey                 1 (0.0%)
Arnaud Patard                1 (0.0%)
Jamie Iles                   1 (0.0%)
Andrew Victor                1 (0.0%)
Tim Schendekehl              1 (0.0%)
Robert Morell                1 (0.0%)
Ian Pilcher                  1 (0.0%)
Chris Kelly                  1 (0.0%)
Kyung-Kwee Ryu               1 (0.0%)
Minh Tran                    1 (0.0%)
Hector Martin                1 (0.0%)
Lennert Buytenhek            1 (0.0%)
Srinidhi Kasagar             1 (0.0%)
Michael Liang                1 (0.0%)
Alexey Kaminsky              1 (0.0%)
Chuanxiao Dong               1 (0.0%)
Jan Weitzel                  1 (0.0%)
Pavan Kunapuli               1 (0.0%)
Tvrtko Ursulin               1 (0.0%)
Donald                       1 (0.0%)
Filippo Arcidiacono          1 (0.0%)
Sudhakar Mamillapalli        1 (0.0%)
Adhir Ramjiawan              1 (0.0%)
Subramania Sharma Thandaveswaran    1 (0.0%)
Andreas Hartmann             1 (0.0%)
Armin Reese                  1 (0.0%)
Matt Renzelmann              1 (0.0%)
Yoshinori Sato               1 (0.0%)
Jonathan Bither              1 (0.0%)
Vandana Salve                1 (0.0%)
Hector Oron                  1 (0.0%)
Alexander Guy                1 (0.0%)
Alex Copot                   1 (0.0%)
Josenivaldo Benito Junior    1 (0.0%)
Alexey I. Froloff            1 (0.0%)
Alan McIvor                  1 (0.0%)
Hitoshi NAKAMORI             1 (0.0%)
Axel Köllhofer              1 (0.0%)
Tobita Tatsunosuke           1 (0.0%)
Michael Gehring              1 (0.0%)
Pierangelo Terzulli          1 (0.0%)
Matt Evans                   1 (0.0%)
Ashay Rane                   1 (0.0%)
Alexandra Vintila            1 (0.0%)
Octavian Moraru              1 (0.0%)
Lucia Rosculete              1 (0.0%)
Simon Haggett                1 (0.0%)
Jonathan Woithe              1 (0.0%)
Mathias Fröhlich            1 (0.0%)
Def                          1 (0.0%)
Xiaodong Xu                  1 (0.0%)
Simon Kitching               1 (0.0%)
Søren holm                  1 (0.0%)
Parag Warudkar               1 (0.0%)
qiuxishi                     1 (0.0%)
Shubhrajyoti Datta           1 (0.0%)
Andres Freund                1 (0.0%)
Dean Luick                   1 (0.0%)
Wang Sen                     1 (0.0%)
Nishank Trivedi              1 (0.0%)
Matteo Frigo                 1 (0.0%)
Pierre Sauter                1 (0.0%)
Pavankumar Kondeti           1 (0.0%)
Ren, Yongjie                 1 (0.0%)
Junjie Mao                   1 (0.0%)
Chema Gonzalez               1 (0.0%)
Marcelo Ricardo Leitner      1 (0.0%)
yuzheng ma                   1 (0.0%)
Horst Schirmeier             1 (0.0%)
Heather Lomond               1 (0.0%)
Santiago Leon                1 (0.0%)
Xinyu Chen                   1 (0.0%)
Sergei Poselenov             1 (0.0%)
Ronny Hegewald               1 (0.0%)
LEO Airwarosu Yoichi Shinoda    1 (0.0%)
Ian Chen                     1 (0.0%)
Attila Kinali                1 (0.0%)
Peter Boonstoppel            1 (0.0%)
Benoît Locher               1 (0.0%)
Joe Stringer                 1 (0.0%)
Bin Liu                      1 (0.0%)
Aleksander Morgado           1 (0.0%)
Pavel Roskin                 1 (0.0%)
Radek Pilar                  1 (0.0%)
Sylvain Munaut               1 (0.0%)
Haggai Eran                  1 (0.0%)
Benjamin Wang                1 (0.0%)
??? (Steve)                  1 (0.0%)
Rayagond Kokatanur           1 (0.0%)
Sven Schmitt                 1 (0.0%)
Kumar Gala                   1 (0.0%)
Paul Cercueil                1 (0.0%)
Vladimir Zapolskiy           1 (0.0%)
Kashyap Desai                1 (0.0%)
Atsushi Nemoto               1 (0.0%)
Ilya Shchepetkov             1 (0.0%)
Zhouping Liu                 1 (0.0%)
Jens Rottmann                1 (0.0%)
Michael Tokarev              1 (0.0%)
Malahal Naineni              1 (0.0%)
David Lamparter              1 (0.0%)
Artem Savkov                 1 (0.0%)
Jon Medhurst (Tixy)          1 (0.0%)
Maciej Żenczykowski         1 (0.0%)
Bruno Randolf                1 (0.0%)
Yevgeniy Melnichuk           1 (0.0%)
Dmitrii Cherkasov            1 (0.0%)
Joren Van Onder              1 (0.0%)
Andrew Boie                  1 (0.0%)
Bruno Morelli                1 (0.0%)
Claudio Scordino             1 (0.0%)
Chris Brand                  1 (0.0%)
Vasiliy Kulikov              1 (0.0%)
Peng Chen                    1 (0.0%)
Hunt Xu                      1 (0.0%)
Philipp A. Mohrenweiser      1 (0.0%)
Peter Meiser                 1 (0.0%)
Bruce Rogers                 1 (0.0%)
Phillip Susi                 1 (0.0%)
Quoc-Son Anh                 1 (0.0%)
Uros Bizjak                  1 (0.0%)
Steve Capper                 1 (0.0%)
Tony Gentile                 1 (0.0%)
Jiaju Zhang                  1 (0.0%)
Justin Lecher                1 (0.0%)
Ramesh Chandrasekaran        1 (0.0%)
Kamil Dudka                  1 (0.0%)
Thiago Rafael Becker         1 (0.0%)
Douglas Bagnall              1 (0.0%)
Dror Cohen                   1 (0.0%)
Guanjun He                   1 (0.0%)
Peter Maydell                1 (0.0%)
Nellutla, Aditya             1 (0.0%)
Hangbin Liu                  1 (0.0%)
Cooper Yuan                  1 (0.0%)
Guillaume Gardet             1 (0.0%)
Ortwin Glück                1 (0.0%)
Alex Lyakas                  1 (0.0%)
Mitch Harder                 1 (0.0%)
Mark Nelson                  1 (0.0%)
Vivek Trivedi                1 (0.0%)
Simon Budig                  1 (0.0%)
Emmanuel Deloget             1 (0.0%)
Vivi Li                      1 (0.0%)
Andrew Mahone                1 (0.0%)
Lluís Batlle i Rossell      1 (0.0%)
Justin Wheeler               1 (0.0%)
Cyrus Lien                   1 (0.0%)
Wilson Callan                1 (0.0%)
Lionel Vaux                  1 (0.0%)
Iain Paton                   1 (0.0%)
Gokul Caushik                1 (0.0%)
Leo Alterman                 1 (0.0%)
Ben Pfaff                    1 (0.0%)
Ander Conselvan de Oliveira    1 (0.0%)
Karen Xie                    1 (0.0%)
Muthukumar Ratty             1 (0.0%)
Ricardo Salveti de Araujo    1 (0.0%)
Jaecheol Lee                 1 (0.0%)
Ken Cox                      1 (0.0%)
Pascal Bouchareine           1 (0.0%)
Paul Fox                     1 (0.0%)
Ioan Orghici                 1 (0.0%)
Denis Ovsienko               1 (0.0%)
Saranya Gopal                1 (0.0%)
Tim Sally                    1 (0.0%)
weixing                      1 (0.0%)
Tom Harwood                  1 (0.0%)
Nikhil P Rao                 1 (0.0%)
Eli Cohen                    1 (0.0%)
Xu Jiucheng                  1 (0.0%)
roger blofeld                1 (0.0%)
Alex Porosanu                1 (0.0%)
Zhicheng Fan                 1 (0.0%)
Kokoris, Ioannis             1 (0.0%)
Priyanka Jain                1 (0.0%)
Gustavo Zacarias             1 (0.0%)
Matias Garcia                1 (0.0%)
Emeric Vigier                1 (0.0%)
Martlin Ettl                 1 (0.0%)
Christian Hohnstaedt         1 (0.0%)
Erez Shitrit                 1 (0.0%)
Arun Murthy                  1 (0.0%)
Tasslehoff Kjappfot          1 (0.0%)
Bob Ross                     1 (0.0%)
David Murray                 1 (0.0%)
Simon Wilson                 1 (0.0%)
Rostislav Lisovy             1 (0.0%)
Wolfgang Mauerer             1 (0.0%)
Richard A. Griffiths         1 (0.0%)
Uri Yosef                    1 (0.0%)
Mathieu Desnoyers            1 (0.0%)
Hitoshi Mitake               1 (0.0%)
Konstantin Stepanyuk         1 (0.0%)
Holger Macht                 1 (0.0%)
Ville Nuorvala               1 (0.0%)
Annie Li                     1 (0.0%)
Christopher L. Simons        1 (0.0%)
Pierre-Loup A. Griffais      1 (0.0%)
Hemant Agrawal               1 (0.0%)
Yashpal Dutta                1 (0.0%)
Guilherme Maciel Ferreira    1 (0.0%)
Sherwin Soltani              1 (0.0%)
Arkady Miasnikov             1 (0.0%)
Mohan V                      1 (0.0%)
Steve Bennett                1 (0.0%)
Sjoerd Simons                1 (0.0%)
Valdis Kletnieks             1 (0.0%)
Jeongdo Son                  1 (0.0%)
Vitaly Wool                  1 (0.0%)
Syed Rafiuddin               1 (0.0%)
Samuel Liao                  1 (0.0%)
Klaus Schmidinger            1 (0.0%)
volokh                       1 (0.0%)
Camuso, Tony                 1 (0.0%)
Mark Rusk                    1 (0.0%)
Heinz Graalfs                1 (0.0%)
OGAWA Hirofumi               1 (0.0%)
Brandon Misemer              1 (0.0%)
Natanael Copa                1 (0.0%)
Etay Luz                     1 (0.0%)
Ravikiran Thirumalai         1 (0.0%)
Todor Colov                  1 (0.0%)
Bernhard Seibold             1 (0.0%)
Raffaele Recalcati           1 (0.0%)
Grant Erickson               1 (0.0%)
Vincent Sanders              1 (0.0%)
Sridhar Samudrala            1 (0.0%)
Austin Hendrix               1 (0.0%)
Gilad Ben-Yossef             1 (0.0%)
Holger Schurig               1 (0.0%)
Orit Wasserman               1 (0.0%)
Giuseppe Bilotta             1 (0.0%)
Dimitrios Semitsoglou-Tsiapos    1 (0.0%)
Koen Beel                    1 (0.0%)
Gerard CAUVY                 1 (0.0%)
Kazuo Moriwaka               1 (0.0%)
Kiran Reddy                  1 (0.0%)
Suman Anna                   1 (0.0%)
Raju Subramanian             1 (0.0%)
Dmitry Adamushko             1 (0.0%)
Zach Sadecki                 1 (0.0%)
Schoch Christian             1 (0.0%)
Tomasz Torcz                 1 (0.0%)
Andrew Karpow                1 (0.0%)
Kalle Jokiniemi              1 (0.0%)
Yang Wei                     1 (0.0%)
Mats Petersson               1 (0.0%)
Julian Wollrath              1 (0.0%)
Daniel M. Weeks              1 (0.0%)
Igor Mazanov                 1 (0.0%)
Kamlakant Patel              1 (0.0%)
Maciej Patelczyk             1 (0.0%)
Lukasz Dorau                 1 (0.0%)
Petr Matousek                1 (0.0%)
Nathan Lynch                 1 (0.0%)
Mukund Navada                1 (0.0%)
Marcos Chaparro              1 (0.0%)
Paulo Sérgio                1 (0.0%)
Jiri Engelthaler             1 (0.0%)
Takamori Yamaguchi           1 (0.0%)
Anders Hedlund               1 (0.0%)
Bin Wang                     1 (0.0%)
Yuvaraj CD                   1 (0.0%)
Mojiong Qiu                  1 (0.0%)
Lars R. Damerow              1 (0.0%)
Nathan Walp                  1 (0.0%)
Cyril Brulebois              1 (0.0%)
Florent Fourcot              1 (0.0%)
Bhavesh Davda                1 (0.0%)
Philippe Begnic              1 (0.0%)
Scott Mayhew                 1 (0.0%)
Dirk Hohndel                 1 (0.0%)
Oliver Chick                 1 (0.0%)
Vasily Khoruzhick            1 (0.0%)
Miguel Vadillo               1 (0.0%)
Gustavo Maciel Dias Vieira    1 (0.0%)
Hemant Kumar                 1 (0.0%)
Moni Shoua                   1 (0.0%)
Daniel Hazelton              1 (0.0%)
Javier Lopez                 1 (0.0%)
Gabriel de Perthuis          1 (0.0%)
Michael Shigorin             1 (0.0%)
Ivan Shugov                  1 (0.0%)
Hiro Sugawara                1 (0.0%)
Stephane Grosjean            1 (0.0%)
Vincent Penquerc'h           1 (0.0%)
Anna Leuschner               1 (0.0%)
Joe Jin                      1 (0.0%)
Fred Brooks                  1 (0.0%)
Luigi Semenzato              1 (0.0%)
Stefán Freyr                1 (0.0%)
Laszlo Ersek                 1 (0.0%)
Matus Ujhelyi                1 (0.0%)
Jay Purohit                  1 (0.0%)
jerin jacob                  1 (0.0%)
Nicolas Boullis              1 (0.0%)
Maxim Kachur                 1 (0.0%)
Antony Pavlov                1 (0.0%)
Daisuke Nishimura            1 (0.0%)
Zijie Pan                    1 (0.0%)
Emil Velikov                 1 (0.0%)
Pete Delaney                 1 (0.0%)
Thomas Friebel               1 (0.0%)
Dmitry Cherkasov             1 (0.0%)
Stefano Babic                1 (0.0%)
Elison Niven                 1 (0.0%)
Alexey Kuznetsov             1 (0.0%)
Jean-Christian de Rivaz      1 (0.0%)
Kevin Baradon                1 (0.0%)
Gong Tao                     1 (0.0%)
Vladimir Murzin              1 (0.0%)
Duncan Roe                   1 (0.0%)
Hildner, Christian           1 (0.0%)
Haicheng Li                  1 (0.0%)
Andrei Popa                  1 (0.0%)
Raghavendra D Prabhu         1 (0.0%)
Graham Gower                 1 (0.0%)
Oto Petřík                 1 (0.0%)
James Cosin                  1 (0.0%)
Harald Krapfenbauer          1 (0.0%)
Frediano Ziglio              1 (0.0%)
Ramesh Nagappa               1 (0.0%)
Wolfgang Bail                1 (0.0%)
Shun Fu                      1 (0.0%)
Vijaya Mohan Guvva           1 (0.0%)
Guilherme Herrmann Destefani    1 (0.0%)
Omair Mohammed Abdullah      1 (0.0%)
Patrick Boettcher            1 (0.0%)
Michael Langer               1 (0.0%)
David Fries                  1 (0.0%)
Ben Gardner                  1 (0.0%)
Paton J. Lewis               1 (0.0%)
Marcin Juszkiewicz           1 (0.0%)
Yang Bai                     1 (0.0%)
Joe Mario                    1 (0.0%)
Martin Michlmayr             1 (0.0%)
Janusz Krzysztofik           1 (0.0%)
Stephan Linz                 1 (0.0%)
David Hooper                 1 (0.0%)
Dmitry Rogozhkin             1 (0.0%)
Alex Tabachnik               1 (0.0%)
Maya Erez                    1 (0.0%)
htbegin                      1 (0.0%)
Quinlan Pfiffer              1 (0.0%)
Iulius Curt                  1 (0.0%)
Wade Cline                   1 (0.0%)
Yuta Ando                    1 (0.0%)
Ratan Nalumasu               1 (0.0%)
Kevin Daughtridge            1 (0.0%)
Jeff Westfahl                1 (0.0%)
Kevin Gan                    1 (0.0%)
Thomas Wagner                1 (0.0%)
Oliver Schinagl              1 (0.0%)
Minghuan Lian                1 (0.0%)
Julien Pichon                1 (0.0%)
Jiang Lu                     1 (0.0%)
Wen-chien Jesse Sung         1 (0.0%)
Martin Pitt                  1 (0.0%)
Martin Peschke               1 (0.0%)
Atul Deshmukh                1 (0.0%)
Hartmut Knaack               1 (0.0%)
Bjarni Ingi Gislason         1 (0.0%)
Alan M Butler                1 (0.0%)
Dom Cobley                   1 (0.0%)
Jamie Gloudon                1 (0.0%)
Andrey Sidorov               1 (0.0%)
Kyungsik Lee                 1 (0.0%)
Jaroslav Resler              1 (0.0%)
Jim Lin                      1 (0.0%)
Frank Arnold                 1 (0.0%)
Serge Hallyn                 1 (0.0%)
Alois Schlögl               1 (0.0%)
Stefan Fritsch               1 (0.0%)
Tino Reichardt               1 (0.0%)
Otto Estuardo Solares Cabrera    1 (0.0%)
Yilu Mao                     1 (0.0%)
Hanjun Guo                   1 (0.0%)
Joakim Tjernlund             1 (0.0%)
Reinhard Nissl               1 (0.0%)
York Sun                     1 (0.0%)
Santhapuri, Damodar          1 (0.0%)
Mike Thompson                1 (0.0%)
Joe MacDonald                1 (0.0%)
Luis Gonzalez Fernandez      1 (0.0%)
Jeff Disher                  1 (0.0%)
Saul St. John                1 (0.0%)
